TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:18.37,0.694037145650049,-0.04,26.87,24.43
00:18.43,0.669599217986315,0.13,25.02,24.84
00:18.48,0.689149560117302,-0.28,23.63,22.78
00:18.53,0.703812316715543,0.27,24.55,24.84
00:18.59,0.718475073313783,-0.41,26.87,24.43
00:18.64,0.698924731182796,-0.28,26.40,25.66
00:18.69,0.674486803519062,-0.28,25.02,24.43
00:18.75,0.684261974584555,-0.28,23.17,25.66
00:18.80,0.698924731182796,-0.28,24.09,25.25
00:18.85,0.72336265884653,-0.28,25.94,24.43
00:18.91,0.708699902248289,0,24.55,23.61
00:18.96,0.684261974584555,-0.01,25.48,25.66
00:19.01,0.694037145650049,0,26.87,24.84
00:19.07,0.703812316715543,-0.11,24.55,24.02
00:19.12,0.718475073313783,0,26.40,24.43
00:19.17,0.698924731182796,-0.27,26.40,26.90
00:19.23,0.674486803519062,-0.26,27.33,24.43
00:19.28,0.674486803519062,-0.27,23.17,24.84
00:19.33,0.703812316715543,-0.26,24.09,24.02
00:19.39,0.72336265884653,-0.4,26.87,24.84
00:19.44,0.698924731182796,-0.4,25.48,24.84
00:19.49,0.679374389051808,-0.4,25.02,25.25
00:19.55,0.694037145650049,-0.4,23.63,24.02
00:19.60,0.703812316715543,-0.27,24.09,24.84
00:19.65,0.728250244379277,0.01,26.40,23.61
00:19.70,0.703812316715543,0.01,25.94,24.84
00:19.76,0.689149560117302,-0.26,24.55,24.84
00:19.81,0.684261974584555,-0.26,25.02,26.90
00:19.86,0.703812316715543,-0.12,23.17,24.84
00:19.92,0.728250244379277,-0.12,25.94,24.84
00:19.97,0.718475073313783,-0.4,25.48,25.25
00:20.02,0.684261974584555,-0.12,25.48,24.84
00:20.08,0.679374389051808,-0.24,24.09,24.43
00:20.13,0.694037145650049,-0.66,23.63,24.02
00:20.18,0.72336265884653,-0.51,26.40,24.84
00:20.24,0.703812316715543,-0.65,25.02,25.25
00:20.29,0.679374389051808,-0.4,24.55,24.43
00:20.34,0.674486803519062,-0.51,24.09,25.25
00:20.40,0.694037145650049,-0.12,24.09,24.84
00:20.45,0.72336265884653,-0.79,25.48,24.43
00:20.51,0.708699902248289,-0.12,26.40,24.84
00:20.56,0.689149560117302,-0.38,28.25,24.84
